[2025-08-23 17:21:32,075] INFO: Watching for file changes with StatReloader (autoreload.py:667)
[2025-08-23 17:21:39,127] INFO: Using GROQ_API_KEY: gsk_...mp7t (views.py:18)
[2025-08-23 17:24:11,394] INFO: Loading SentenceTransformer model (views.py:30)
[2025-08-23 17:24:11,402] INFO: Use pytorch device_name: cpu (SentenceTransformer.py:219)
[2025-08-23 17:24:11,403] INFO: Load pretrained SentenceTransformer: all-MiniLM-L6-v2 (SentenceTransformer.py:227)
[2025-08-23 17:24:11,416] DEBUG: Starting new HTTPS connection (1): huggingface.co:443 (connectionpool.py:1049)
[2025-08-23 17:24:14,014] DEBUG: https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/modules.json HTTP/1.1" 307 0 (connectionpool.py:544)
[2025-08-23 17:24:14,213] DEBUG: https://huggingface.co:443 "HEAD /api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/modules.json HTTP/1.1" 200 0 (connectionpool.py:544)
[2025-08-23 17:24:14,653] DEBUG: https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/config_sentence_transformers.json HTTP/1.1" 307 0 (connectionpool.py:544)
[2025-08-23 17:24:14,881] DEBUG: https://huggingface.co:443 "HEAD /api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/config_sentence_transformers.json HTTP/1.1" 200 0 (connectionpool.py:544)
[2025-08-23 17:24:15,276] DEBUG: https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/config_sentence_transformers.json HTTP/1.1" 307 0 (connectionpool.py:544)
[2025-08-23 17:24:15,407] DEBUG: https://huggingface.co:443 "HEAD /api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/config_sentence_transformers.json HTTP/1.1" 200 0 (connectionpool.py:544)
[2025-08-23 17:24:15,627] DEBUG: https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/README.md HTTP/1.1" 307 0 (connectionpool.py:544)
[2025-08-23 17:24:15,769] DEBUG: https://huggingface.co:443 "HEAD /api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/README.md HTTP/1.1" 200 0 (connectionpool.py:544)
[2025-08-23 17:24:16,197] DEBUG: https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/modules.json HTTP/1.1" 307 0 (connectionpool.py:544)
[2025-08-23 17:24:16,310] DEBUG: https://huggingface.co:443 "HEAD /api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/modules.json HTTP/1.1" 200 0 (connectionpool.py:544)
[2025-08-23 17:24:16,513] DEBUG: https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/sentence_bert_config.json HTTP/1.1" 307 0 (connectionpool.py:544)
[2025-08-23 17:24:16,627] DEBUG: https://huggingface.co:443 "HEAD /api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/sentence_bert_config.json HTTP/1.1" 200 0 (connectionpool.py:544)
[2025-08-23 17:24:16,861] DEBUG: https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/adapter_config.json HTTP/1.1" 404 0 (connectionpool.py:544)
[2025-08-23 17:24:17,166] DEBUG: https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/config.json HTTP/1.1" 307 0 (connectionpool.py:544)
[2025-08-23 17:24:17,269] DEBUG: https://huggingface.co:443 "HEAD /api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/config.json HTTP/1.1" 200 0 (connectionpool.py:544)
[2025-08-23 17:24:19,192] DEBUG: https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/tokenizer_config.json HTTP/1.1" 307 0 (connectionpool.py:544)
